"Phytophthora","Host","Total","Trade","widerEnvironment","Unknown"
"P. cinnamomi","Leucospermum fulgens",6,NA,NA,6
"P. cinnamomi","Leucospermum glabrum",8,NA,NA,8
"P. cinnamomi","Leucospermum grandiflorum",4,NA,NA,4
"P. cinnamomi","Leucospermum lineare",8,NA,NA,8
"P. cinnamomi","Leucospermum muirii",6,NA,NA,6
"P. cinnamomi","Leucospermum mundii",6,NA,NA,6
"P. cinnamomi","Leucospermum patersonii",6,NA,NA,6
"P. cinnamomi","Leucospermum pluridens",6,NA,NA,6
"P. cinnamomi","Leucospermum praecox",6,NA,NA,6
"P. cinnamomi","Leucospermum praemorsum",6,NA,NA,6
"P. cinnamomi","Leucospermum prostratum",6,NA,NA,6
"P. cinnamomi","Leucospermum reflexum",12,NA,NA,12
"P. cinnamomi","Leucospermum tomentosum",6,NA,NA,6
"P. cinnamomi","Leucospermum tottum",8,NA,NA,8
"P. cinnamomi","Leucospermum truncatulum",2,NA,NA,2
"P. cinnamomi","Leucospermum truncatum",4,NA,NA,4
"P. cinnamomi","Leucospermum utriculosum",6,NA,NA,6
"P. cinnamomi","Leucospermum vestitum",6,NA,NA,6
"P. cinnamomi","Calytrix alpestris",4,NA,NA,4
"P. cinnamomi","Lilium longiflorum",1,NA,NA,1
"P. cinnamomi","Limonium sinuatum",2,NA,NA,2
"P. cinnamomi","Liriodendron tulipifera",2,NA,NA,2
"P. cinnamomi","Lissanthe strigosa",2,NA,NA,2
"P. ramorum","Notholithocarpus densiflorus",56,NA,11,45
"P. pseudosyringae","Notholithocarpus densiflorus",5,NA,1,4
"P. cinnamomi","Notholithocarpus densiflorus",8,NA,1,7
"P. cinnamomi","Lithocarpus shinsuiensis",1,NA,1,NA
"P. ramorum","Lonicera hispidula",4,NA,NA,4
"P. cinnamomi","Lophomyrtus obcordata",4,NA,NA,4
"P. ramorum","Lophostemon confertus",1,NA,NA,1
"P. ramorum","Loropetalum chinense",3,NA,NA,3
"P. cinnamomi","Luma apiculata",3,NA,NA,3
"P. cinnamomi","Lupinus angustifolius",4,NA,NA,4
"P. cinnamomi","Lupinus digitatus",2,NA,NA,2
"P. cinnamomi","Solanum lycopersicum",3,NA,NA,3
"P. cinnamomi","Lycopodium deuterodensum",6,NA,NA,6
"P. cinnamomi","Macadamia integrifolia",13,NA,NA,13
"P. cinnamomi","Macadamia tetraphylla",9,NA,NA,9
"P. cinnamomi","Machilus japonicus",2,NA,2,NA
"P. cinnamomi","Machilus thunbergii",3,NA,1,2
"P. cinnamomi","Macrozamia reidlei",1,NA,NA,1
"P. cinnamomi","Magnolia grandiflora",4,NA,NA,4
"P. ramorum","Maianthemum racemosum",3,NA,NA,3
"P. cinnamomi","Melaleuca hypericifolia",3,NA,NA,3
"P. cinnamomi","Melaleuca lanceolata",1,NA,NA,1
"P. cinnamomi","Melaleuca scabra",2,NA,NA,2
"P. cinnamomi","Melaleuca squamea",2,NA,NA,2
"P. cinnamomi","Melaleuca squarrosa",3,NA,NA,3
"P. cinnamomi","Melaleuca styphelioides",2,NA,NA,2
"P. cinnamomi","Melastoma malabathricum",2,NA,NA,2
"P. cinnamomi","Melicytus macrophyllus",4,NA,NA,4
"P. cinnamomi","Meryta sinclairii",4,NA,NA,4
"P. austrocedri","Metasequoia glyptostroboides",2,NA,NA,2
"P. cinnamomi","Metrosideros polymorpha",4,NA,NA,4
"P. cinnamomi","Metrosideros excelsa",8,NA,NA,8
"P. ramorum","Magnolia maudiae",1,NA,NA,1
"P. cinnamomi","Microbiota decussata",2,NA,NA,2
"P. cinnamomi","Micromyrtus ciliata",2,NA,NA,2
"P. cinnamomi","Mimetes argenteus",2,NA,NA,2
"P. cinnamomi","Mimetes cucullatus",2,NA,NA,2
"P. cinnamomi","Mimetes hottentoticus",2,NA,NA,2
"P. cinnamomi","Mimetes splendidus",2,NA,NA,2
"P. cinnamomi","Mirbelia dilatata",2,NA,NA,2
"P. cinnamomi","Monotoca glauca",4,NA,NA,4
"P. cinnamomi","Dielsiodoxa tamariscina",2,NA,NA,2
"P. cinnamomi","Mucuna gigantea",2,NA,NA,2
"P. cinnamomi","Myrsine australis",5,NA,NA,5
"P. cinnamomi","Myrsine lessertiana",4,NA,NA,4
"P. cinnamomi","Myrtus communis",4,2,NA,2
"P. cinnamomi","Xanthomyrtus compacta",4,NA,NA,4
"P. cinnamomi","Ocotea sinuata",2,NA,NA,2
"P. cinnamomi","Nestegis lanceolata",4,NA,NA,4
"P. pseudosyringae","Nothofagus alpina",1,NA,NA,1
"P. cinnamomi","Nothofagus cunninghamii",5,NA,NA,5
"P. cinnamomi","Nothofagus dombeyi",3,NA,NA,3
"P. cinnamomi","Nothofagus fusca",11,NA,NA,11
"P. cinnamomi","Nothofagus menziesii",7,NA,NA,7
"P. pseudosyringae","Nothofagus obliqua",3,NA,NA,3
"P. cinnamomi","Nothofagus alpina",3,NA,NA,3
"P. cinnamomi","Nothofagus cliffortioides",3,NA,NA,3
"P. pluvialis","Notholithocarpus densiflorus",3,NA,2,1
"P. cinnamomi","Nymania capensis",2,NA,NA,2
"P. cinnamomi","Ocotea floribunda",2,NA,NA,2
"P. cinnamomi","Ocotea bullata",2,NA,NA,2
"P. cinnamomi","Olea europaea",3,NA,NA,3
"P. cinnamomi","Olearia oppositifolia",2,NA,NA,2
"P. cinnamomi","Olearia rani",4,NA,NA,4
"P. cinnamomi","Orothamnus zeyheri",6,NA,NA,6
"P. ramorum","Osmanthus fragrans",2,NA,NA,2
"P. ramorum","Osmanthus heterophyllus",3,NA,NA,3
"P. cinnamomi","Oxylobium arborescens",2,NA,NA,2
"P. cinnamomi","Oxylobium ellipticum",3,NA,NA,3
"P. cinnamomi","Caleana nigrita",2,NA,NA,2
"P. cinnamomi","Paranomus reflexus",4,NA,NA,4
"P. cinnamomi","Passiflora edulis",12,NA,NA,12
"P. cinnamomi","Patersonia occidentalis",2,NA,NA,2
"P. cinnamomi","Pentameris airoides",2,NA,NA,2
"P. cinnamomi","Pericalymma ellipticum",2,NA,NA,2
"P. cinnamomi","Gaultheria mucronata",2,NA,NA,2
"P. cinnamomi","Perrottetia sandwicensis",2,NA,NA,2
"P. cinnamomi","Persea americana",369,NA,1,368
"P. cinnamomi","Persea borbonia",2,NA,NA,2
"P. cinnamomi","Persea schiedeana",4,NA,NA,4
"P. cinnamomi","Persoonia longifolia",2,NA,NA,2
"P. cinnamomi","Petrophile biloba",2,NA,NA,2
"P. cinnamomi","Petrophile divaricata",2,NA,NA,2
"P. cinnamomi","Petrophile serruriae",2,NA,NA,2
"P. cinnamomi","Nematolepis squamea",3,NA,NA,3
"P. cinnamomi","Phormium tenax",4,NA,NA,4
"P. ramorum","Photinia × fraseri",2,NA,NA,2
"P. cinnamomi","Phyllocladus trichomanoides",7,NA,NA,7
"P. cinnamomi","Picea abies",9,NA,NA,9
"P. cinnamomi","Picea pungens",6,NA,NA,6
"P. ramorum","Picea sitchensis",3,NA,1,2
"P. cinnamomi","Pieris floribunda",2,NA,NA,2
"P. ramorum","Pieris japonica",13,4,NA,9
"P. cinnamomi","Pieris japonica",17,1,NA,16
"P. cinnamomi","Pimelea ferruginea",5,NA,NA,5
"P. cinnamomi","Pimelea humilis",2,NA,NA,2
"P. cinnamomi","Pinus brutia",2,NA,NA,2
"P. cinnamomi","Pinus canariensis",4,NA,NA,4
"P. cinnamomi","Pinus caribaea",3,NA,NA,3
"P. cinnamomi","Pinus clausa",4,NA,NA,4
"P. cinnamomi","Pinus echinata",8,NA,NA,8
"P. cinnamomi","Pinus elliottii",5,NA,NA,5
"P. cinnamomi","Pinus halepensis",2,NA,NA,2
"P. cinnamomi","Pinus mugo",12,1,NA,11
"P. cinnamomi","Pinus nigra",4,NA,NA,4
"P. austrocedri","Pinus nigra",2,NA,NA,2
"P. cinnamomi","Pinus occidentalis",2,NA,NA,2
"P. cinnamomi","Pinus palustris",6,NA,NA,6
"P. pluvialis","Pinus patula",3,NA,NA,3
"P. cinnamomi","Pinus patula",5,NA,NA,5
"P. cinnamomi","Pinus pinaster",5,NA,NA,5
"P. cinnamomi","Pinus pinea",5,2,NA,3
"P. pinifolia","Pinus radiata",22,NA,1,21
"P. cinnamomi","Pinus radiata",155,NA,NA,155
"P. kernoviae","Pinus radiata",47,NA,NA,47
"P. pluvialis","Pinus radiata",202,NA,NA,202
"P. cinnamomi","Pinus resinosa",5,NA,NA,5
"P. cinnamomi","Pinus strobus",4,NA,NA,4
"P. cinnamomi","Pinus sylvestris",7,NA,1,6
"P. cinnamomi","Pinus taeda",7,NA,NA,7
"P. cinnamomi","Pinus wallichiana",3,1,NA,2
"P. cinnamomi","Pipturus albidus",2,NA,NA,2
"P. cinnamomi","Pistacia lentiscus",1,NA,NA,1
"P. ramorum","Pittosporum undulatum",1,NA,NA,1
"P. cinnamomi","Platanus × hispanica",6,NA,NA,6
"P. cinnamomi","Platanus orientalis",6,NA,NA,6
"P. cinnamomi","Platanus racemosa",2,NA,NA,2
"P. cinnamomi","Platylobium obtusangulum",3,NA,NA,3
"P. cinnamomi","Platysace compressa",2,NA,NA,2
"P. cinnamomi","Podocarpus drouynianus",3,NA,NA,3
"P. cinnamomi","Podotheca angustifolia",2,NA,NA,2
"P. cinnamomi","Polystichum munitum",4,NA,NA,4
"P. cinnamomi","Pomaderris apetala",2,NA,NA,2
"P. cinnamomi","Protea aurea",8,NA,NA,8
"P. cinnamomi","Protea burchellii",2,NA,NA,2
"P. cinnamomi","Protea caffra",2,NA,NA,2
"P. cinnamomi","Protea compacta",2,NA,NA,2
"P. cinnamomi","Protea cynaroides",12,NA,NA,12
"P. cinnamomi","Protea effusa",6,NA,NA,6
"P. cinnamomi","Protea eximia",2,NA,NA,2
"P. cinnamomi","Protea grandiceps",4,NA,NA,4
"P. cinnamomi","Protea lanceolata",4,NA,NA,4
"P. cinnamomi","Protea laurifolia",4,NA,NA,4
"P. cinnamomi","Protea lepidocarpodendron",6,NA,NA,6
"P. cinnamomi","Protea longifolia",4,NA,NA,4
"P. cinnamomi","Protea lorifolia",2,NA,NA,2
"P. cinnamomi","Protea magnifica",10,NA,NA,10
"P. cinnamomi","Protea mundii",4,NA,NA,4
"P. cinnamomi","Protea nana",4,NA,NA,4
"P. cinnamomi","Protea neriifolia",11,NA,NA,11
"P. cinnamomi","Protea nitida",8,NA,NA,8
"P. cinnamomi","Protea obtusifolia",6,NA,NA,6
"P. cinnamomi","Protea punctata",4,NA,NA,4
"P. cinnamomi","Protea repens",5,NA,NA,5
"P. cinnamomi","Protea roupelliae",6,NA,NA,6
"P. cinnamomi","Protea susannae",4,NA,NA,4
"P. cinnamomi","Pectinopitys ferruginea",4,NA,NA,4
"P. cinnamomi","Prunus americana",5,NA,NA,5
"P. cinnamomi","Prunus armeniaca",4,NA,NA,4
"P. cinnamomi","Prunus avium",4,NA,NA,4
"P. ramorum","Prunus laurocerasus",1,NA,NA,1
"P. ramorum","Prunus lusitanica",4,1,NA,3
"P. cinnamomi","Prunus persica",16,NA,NA,16
"P. cinnamomi","Neopanax arboreus",4,NA,NA,4
"P. cinnamomi","Pseudopanax crassifolius",4,NA,NA,4
"P. pluvialis","Pseudotsuga menziesii",25,NA,3,22
"P. cinnamomi","Pseudotsuga menziesii",36,NA,NA,36
"P. ramorum","Pseudotsuga menziesii",6,NA,1,5
"P. cinnamomi","Psidium cattleianum",2,NA,NA,2
"P. cinnamomi","Psychotria hawaiiensis",1,NA,NA,1
"P. cinnamomi","Pteris ensiformis",2,NA,NA,2
"P. cinnamomi","Pterochaeta paniculata",5,NA,NA,5
"P. cinnamomi","Pultenaea daphnoides",4,NA,NA,4
"P. cinnamomi","Pultenaea gunnii",3,NA,NA,3
"P. cinnamomi","Pultenaea humilis",2,NA,NA,2
"P. cinnamomi","Pultenaea involucrata",2,NA,NA,2
"P. cinnamomi","Pultenaea pedunculata",2,NA,NA,2
"P. cinnamomi","Pultenaea reticulata",2,NA,NA,2
"P. cinnamomi","Pyrus communis",12,NA,NA,12
"P. cinnamomi","Quercus rubra",157,NA,144,13
"P. ramorum","Quercus agrifolia",116,NA,84,32
"P. cinnamomi","Quercus agrifolia",12,NA,1,11
"P. pseudosyringae","Quercus agrifolia",9,NA,NA,9
"P. cinnamomi","Quercus alba",13,NA,NA,13
"P. cinnamomi","Quercus cerris",9,1,NA,8
"P. cinnamomi","Quercus championii",5,NA,1,4
"P. ramorum","Quercus chrysolepis",13,NA,5,8
"P. cinnamomi","Quercus faginea",1,NA,NA,1
"P. cinnamomi","Quercus frainetto",4,NA,NA,4
"P. cinnamomi","Quercus serrata",1,NA,1,NA
"P. cinnamomi","Quercus glauca",1,NA,1,NA
"P. cinnamomi","Quercus glaucoides",2,NA,NA,2
"P. cinnamomi","Quercus ilex",37,NA,NA,37
"P. ramorum","Quercus kelloggii",40,NA,33,7
"P. cinnamomi","Quercus laurifolia",3,NA,NA,3
"P. cinnamomi","Quercus longinux",1,NA,1,NA
"P. cinnamomi","Quercus montana",4,NA,NA,4
"P. cinnamomi","Quercus morii",4,NA,1,3
"P. ramorum","Quercus parvula",4,NA,NA,4
"P. cinnamomi","Quercus peduncularis",2,NA,NA,2
"P. cinnamomi","Quercus petraea",2,NA,NA,2
"P. cinnamomi","Quercus michauxii",2,NA,NA,2
"P. cinnamomi","Quercus pyrenaica",2,NA,NA,2
"P. cinnamomi","Quercus robur",27,NA,21,6
"P. pseudosyringae","Quercus robur",18,NA,NA,18
"P. ramorum","Quercus robur",2,NA,NA,2
"P. ramorum","Quercus rubra",6,NA,NA,6
"P. pseudosyringae","Quercus rubra",1,NA,NA,1
"P. cinnamomi","Quercus salicifolia",1,NA,NA,1
"P. cinnamomi","Quercus sessifolia",1,NA,1,NA
"P. cinnamomi","Quercus sessilifolia",2,NA,NA,2
"P. cinnamomi","Quercus stenophylloides",3,NA,2,1
"P. cinnamomi","Quercus suber",53,NA,NA,53
"P. cinnamomi","Quercus variabilis",2,NA,2,NA
"P. cinnamomi","Quercus velutina",1,NA,NA,1
"P. ramorum","Quercus wislizeni",1,NA,1,NA
"P. cinnamomi","Rhamnus alaternus",3,NA,1,2
"P. ramorum","Rhamnus cathartica",2,NA,NA,2
"P. cinnamomi","Rhaphiolepis indica",2,NA,NA,2
"P. ramorum","Rhododendron catawbiense",29,2,NA,27
"P. cinnamomi","Rhododendron adenogynum",1,1,NA,NA
"P. cinnamomi","Rhododendron macrophyllum",4,NA,NA,4
"P. cinnamomi","Rhododendron minus",9,NA,NA,9
"P. cinnamomi","Rhododendron catawbiense",6,NA,NA,6
"P. ramorum","Rhododendron hirsutum",5,1,NA,4
"P. cinnamomi","Rhododendron × hybridum",2,1,NA,1
"P. ramorum","Rhododendron impeditum",4,NA,NA,4
"P. cinnamomi","Rhododendron impeditum",3,NA,NA,3
"P. cinnamomi","Rhododendron indicum",5,NA,NA,5
"P. cinnamomi","Rhododendron lapponicum",1,NA,NA,1
"P. ramorum","Rhododendron macrophyllum",3,NA,1,2
"P. cinnamomi","Rhododendron makinoi",2,NA,NA,2
"P. cinnamomi","Rhododendron maximum",1,NA,NA,1
"P. cinnamomi","Rhododendron japonoheptamerum",2,NA,NA,2
"P. cinnamomi","Rhododendron yakushimanum",4,3,NA,1
"P. cinnamomi","Rhododendron mucronatum",4,NA,NA,4
"P. cinnamomi","Rhododendron mucronulatum",2,NA,NA,2
"P. cinnamomi","Rhododendron ponticum",20,NA,NA,20
"P. cinnamomi","Rhododendron occidentale",2,NA,NA,2
"P. ramorum","Rhododendron ponticum",15,3,8,4
"P. kernoviae","Rhododendron ponticum",1,NA,1,NA
"P. cinnamomi","Rhododendron pseudochrysanthum",2,NA,NA,2
"P. ramorum","Rhododendron forrestii",2,NA,NA,2
"P. cinnamomi","Rhododendron simsii",6,NA,NA,6
"P. ramorum","Rhododendron wardii",2,NA,NA,2
"P. ramorum","Rhododendron yakushimanum",7,2,NA,5
"P. ramorum","Toxicodendron diversilobum",1,NA,1,NA
"P. cinnamomi","Richardia brasiliensis",2,NA,NA,2
"P. cinnamomi","Richardia scabra",2,NA,NA,2
"P. cinnamomi","Ricinus communis",2,NA,NA,2
"P. cinnamomi","Robinia pseudoacacia",7,NA,NA,7
"P. ramorum","Rosa californica",1,NA,NA,1
"P. ramorum","Rosa gymnocarpa",5,NA,NA,5
"P. cinnamomi","Salvia rosmarinus",5,NA,NA,5
"P. cinnamomi","Rubus idaeus",15,NA,NA,15
"P. cinnamomi","Rubus rosifolius",2,NA,NA,2
"P. ramorum","Rubus spectabilis",1,NA,1,NA
"P. cinnamomi","Rytidosperma caespitosum",2,NA,NA,2
"P. cinnamomi","Sarracenia alata",1,1,NA,NA
"P. cinnamomi","Saxegothaea conspicua",4,NA,NA,4
"P. cinnamomi","Sciadopitys verticillata",6,NA,NA,6
"P. cinnamomi","Pericallis cruenta",2,NA,NA,2
"P. ramorum","Sequoia sempervirens",11,NA,NA,11
"P. cinnamomi","Sequoia sempervirens",4,NA,NA,4
"P. cinnamomi","Sequoiadendron giganteum",2,NA,NA,2
"P. cinnamomi","Serruria florida",12,NA,NA,12
"P. cinnamomi","Serruria kraussii",2,NA,NA,2
"P. cinnamomi","Siloxerus multiflorus",2,NA,NA,2
"P. cinnamomi","Solanum tuberosum",1,NA,NA,1
"P. cinnamomi","Sophora chrysophylla",2,NA,NA,2
"P. cinnamomi","Sorbus commixta",2,NA,NA,2
"P. cinnamomi","Sphenotoma squarrosum",1,NA,NA,1
"P. cinnamomi","Sprengelia incarnata",4,NA,NA,4
"P. cinnamomi","Stylidium diuroides",8,NA,NA,8
"P. cinnamomi","Leptecophylla tameiameiae",2,NA,NA,2
"P. cinnamomi","Symphytum × uplandicum",1,NA,NA,1
"P. cinnamomi","Syzygium aromaticum",2,NA,NA,2
"P. cinnamomi","Tabebuia heterophylla",2,NA,NA,2
"P. cinnamomi","Tasmannia purpurascens",2,NA,NA,2
"P. cinnamomi","Taxus × media",2,NA,NA,2
"P. cinnamomi","Taxus baccata",18,5,NA,13
"P. cinnamomi","Taxus cuspidata",6,NA,NA,6
"P. cinnamomi","Tecomaria capensis",2,NA,NA,2
"P. cinnamomi","Telopea speciosissima",13,NA,NA,13
"P. cinnamomi","Tetratheca ciliata",2,NA,NA,2
"P. cinnamomi","Tetratheca hirsuta",2,NA,NA,2
"P. cinnamomi","Tetratheca pilosa",2,NA,NA,2
"P. cinnamomi","Thomasia grandiflora",2,NA,NA,2
"P. cinnamomi","Thomasia pauciflora",2,NA,NA,2
"P. cinnamomi","Thryptomene calycina",7,NA,NA,7
"P. cinnamomi","Thryptomene micrantha",1,NA,NA,1
"P. cinnamomi","Thuja occidentalis",10,NA,NA,10
"P. austrocedri","Thuja occidentalis",1,NA,NA,1
"P. cinnamomi","Thuja plicata",2,NA,NA,2
"P. pseudosyringae","Tilia cordata",2,NA,NA,2
"P. cinnamomi","Toona ciliata",1,NA,NA,1
"P. cinnamomi","Torreya nucifera",2,NA,NA,2
"P. cinnamomi","Trachymene pilosa",2,NA,NA,2
"P. ramorum","Lysimachia latifolia",7,NA,NA,7
"P. cinnamomi","Lophostemon confertus",4,NA,NA,4
"P. cinnamomi","Trymalium ledifolium",2,NA,NA,2
"P. cinnamomi","Tsuga canadensis",2,NA,NA,2
"P. ramorum","Umbellularia californica",214,NA,185,29
"P. pseudosyringae","Umbellularia californica",12,NA,NA,12
"P. cinnamomi","Umbellularia californica",2,NA,NA,2
"P. cinnamomi","Vaccinium corymbosum",46,2,4,40
"P. cinnamomi","Vaccinium formosum",2,NA,NA,2
"P. cinnamomi","Vaccinium macrocarpon",2,NA,NA,2
"P. ramorum","Vaccinium myrtillus",6,NA,1,5
"P. ramorum","Vaccinium ovatum",14,NA,1,13
"P. cinnamomi","Vaccinium ovatum",4,NA,NA,4
"P. ramorum","Gaylussacia baccata",1,NA,1,NA
"P. ramorum","Vaccinium parvifolium",2,NA,NA,2
"P. cinnamomi","Verticordia densiflora",2,NA,NA,2
"P. cinnamomi","Verticordia drummondii",2,NA,NA,2
"P. cinnamomi","Verticordia huegelii",2,NA,NA,2
"P. cinnamomi","Verticordia nitens",2,NA,NA,2
"P. cinnamomi","Verticordia plumosa",2,NA,NA,2
"P. ramorum","Viburnum × bodnantense",24,NA,NA,24
"P. cinnamomi","Viburnum cylindricum",2,NA,NA,2
"P. ramorum","Viburnum davidi",3,1,NA,2
"P. ramorum","Viburnum farreri",8,NA,NA,8
"P. ramorum","Viburnum plicatum",7,NA,NA,7
"P. ramorum","Viburnum tinus",30,11,2,17
"P. cinnamomi","Viburnum tinus",3,NA,NA,3
"P. ramorum","Vinca minor",1,NA,NA,1
"P. cinnamomi","Vitis rupestris",6,NA,NA,6
"P. cinnamomi","Vitis vinifera",34,NA,NA,34
"P. cinnamomi","Widdringtonia cedarbergensis",1,NA,NA,1
"P. cinnamomi","Wollemia nobilis",70,NA,NA,70
"P. cinnamomi","Xanthorrhoea australis",8,NA,NA,8
"P. cinnamomi","Xanthorrhoea preissii",6,NA,NA,6
"P. cinnamomi","Xanthorrhoea semiplana",8,NA,NA,8
"P. cinnamomi","Xeronema callistemon",5,NA,NA,5
"P. cinnamomi","Xerophyllum tenax",1,NA,NA,1
"P. cinnamomi","Xylomelum occidentale",2,NA,NA,2
"P. cinnamomi","Hesperoyucca whipplei",3,NA,NA,3
"P. cinnamomi","Zamia furfuracea",1,NA,NA,1
"P. cinnamomi","Acacia celsa",1,NA,NA,1
"P. cinnamomi","Acacia hamiltoniana",1,NA,NA,1
"P. cinnamomi","Acacia simsii",1,NA,NA,1
"P. cinnamomi","Acacia suaveolens",1,NA,NA,1
"P. cinnamomi","Acacia ulicifolia",1,NA,NA,1
"P. cinnamomi","Acacia vestita",1,NA,NA,1
"P. cinnamomi","Feijoa sellowiana",1,NA,NA,1
"P. cinnamomi","Adenanthos barbigerus",1,NA,NA,1
"P. cinnamomi","Adenanthos cuneatus",1,NA,NA,1
"P. kernoviae","Agathis australis",1,NA,NA,1
"P. cinnamomi","Amperea xiphoclada",1,NA,NA,1
"P. cinnamomi","Andersonia caerulea",1,NA,NA,1
"P. cinnamomi","Angophora costata",3,NA,NA,3
"P. cinnamomi","Angophora hispida",3,NA,NA,3
"P. cinnamomi","Antirrhinum majus",1,NA,NA,1
"P. cinnamomi","Araucaria bidwillii",1,NA,NA,1
"P. cinnamomi","Archontophoenix cunninghamiana",1,NA,NA,1
"P. ramorum","Arctostaphylos glauca",1,NA,NA,1
"P. ramorum","Arctostaphylos viridissima",1,NA,NA,1
"P. cinnamomi","Aristotelia serrata",1,NA,NA,1
"P. cinnamomi","Styphelia humifusa",1,NA,NA,1
"P. cinnamomi","Stenanthera pinifolia",1,NA,NA,1
"P. cinnamomi","Backhousia citriodora",2,NA,NA,2
"P. cinnamomi","Banksia aemula",3,NA,NA,3
"P. cinnamomi","Banksia ericifolia",6,NA,NA,6
"P. cinnamomi","Banksia falcata",2,NA,NA,2
"P. cinnamomi","Banksia integrifolia",1,NA,NA,1
"P. cinnamomi","Banksia leptophylla",1,NA,NA,1
"P. cinnamomi","Banksia media",5,NA,NA,5
"P. cinnamomi","Banksia micrantha",1,NA,NA,1
"P. cinnamomi","Banksia obovata",1,NA,NA,1
"P. cinnamomi","Banksia occidentalis",1,NA,NA,1
"P. cinnamomi","Banksia telmatiaea",1,NA,NA,1
"P. cinnamomi","Bauera rubioides",1,NA,NA,1
"P. cinnamomi","Beilschmiedia tawa",1,NA,NA,1
"P. cinnamomi","Billardiera heterophylla",1,NA,NA,1
"P. cinnamomi","Blandfordia grandiflora",1,NA,NA,1
"P. cinnamomi","Caladenia formosa",1,NA,NA,1
"P. cinnamomi","Calytrix tetragona",1,NA,NA,1
"P. cinnamomi","Carex conoidea",2,NA,NA,2
"P. cinnamomi","Ceanothus impressus",1,NA,NA,1
"P. cinnamomi","Cephalotaxus harringtonii",5,NA,NA,5
"P. cinnamomi","Ceratopetalum gummiferum",2,NA,NA,2
"P. cinnamomi","Cinnamomum burmanni",2,NA,NA,2
"P. cinnamomi","Cissus verticillata",1,NA,NA,1
"P. cinnamomi","Citrus × limon",1,NA,NA,1
"P. cinnamomi","Coriaria ruscifolia",2,NA,NA,2
"P. cinnamomi","Correa aemula",1,NA,NA,1
"P. cinnamomi","Cyrilla racemiflora",1,NA,NA,1
"P. cinnamomi","Dacrycarpus dacrydioides",1,NA,NA,1
"P. cinnamomi","Darwinia oxylepis",1,NA,NA,1
"P. cinnamomi","Daviesia latifolia",1,NA,NA,1
"P. cinnamomi","Daviesia ulicifolia",1,NA,NA,1
"P. cinnamomi","Didymochlaena truncatula",2,NA,NA,2
"P. cinnamomi","Dillwynia brunioides",1,NA,NA,1
"P. cinnamomi","Dillwynia floribunda",1,NA,NA,1
"P. cinnamomi","Dillwynia sericea",1,NA,NA,1
"P. cinnamomi","Encephalartos ferox",2,NA,NA,2
"P. cinnamomi","Entelea arborescens",1,NA,NA,1
"P. cinnamomi","Epacris lanuginosa",1,NA,NA,1
"P. cinnamomi","Epacris obtusifolia",1,NA,NA,1
"P. cinnamomi","Erica autumnalis",1,NA,NA,1
"P. cinnamomi","Eucalyptus oblonga",2,NA,NA,2
"P. cinnamomi","Eucalyptus bicostata",1,NA,NA,1
"P. cinnamomi","Eucalyptus grandis",1,NA,NA,1
"P. cinnamomi","Eucalyptus macrocarpa",1,NA,NA,1
"P. cinnamomi","Eucalyptus macrorhyncha",1,NA,NA,1
"P. cinnamomi","Eucalyptus nitens",1,NA,NA,1
"P. cinnamomi","Eucalyptus nitida",1,NA,NA,1
"P. cinnamomi","Eucalyptus piperita",1,NA,NA,1
"P. cinnamomi","Eucalyptus pyriformis",1,NA,NA,1
"P. cinnamomi","Eucalyptus rossii",1,NA,NA,1
"P. cinnamomi","Eucalyptus rudis",2,NA,NA,2
"P. cinnamomi","Eucalyptus scoparia",1,NA,NA,1
"P. cinnamomi","Eucalyptus tetrodonta",5,NA,NA,5
"P. kernoviae","Ficus grandiflora",1,NA,NA,1
"P. cinnamomi","Flaveria angustifolia",1,NA,NA,1
"P. ramorum","Fuchsia excorticata",1,NA,NA,1
"P. cinnamomi","Gaultheria hispida",1,NA,NA,1
"P. cinnamomi","Gerbera jamesonii",1,NA,NA,1
"P. cinnamomi","Ginkgo biloba",1,NA,NA,1
"P. cinnamomi","Grevillea barklyana",1,NA,NA,1
"P. cinnamomi","Grevillea hookeriana",1,NA,NA,1
"P. cinnamomi","Grevillea rosmarinifolia",2,NA,NA,2
"P. cinnamomi","Grevillea stenomera",1,NA,NA,1
"P. cinnamomi","Gymnostoma australianum",2,NA,NA,2
"P. cinnamomi","Hakea bucculenta",1,NA,NA,1
"P. cinnamomi","Hakea cucullata",1,NA,NA,1
"P. cinnamomi","Harpullia ramiflora",1,NA,NA,1
"P. cinnamomi","Hedycarya arborea",1,NA,NA,1
"P. cinnamomi","Helmholtzia glaberrima",1,NA,NA,1
"P. cinnamomi","Hibbertia acicularis",1,NA,NA,1
"P. cinnamomi","Hibbertia procumbens",1,NA,NA,1
"P. cinnamomi","Hibbertia prostrata",1,NA,NA,1
"P. cinnamomi","Isopogon axillaris",1,NA,NA,1
"P. cinnamomi","Jacaranda mimosifolia",1,NA,NA,1
"P. cinnamomi","Juniperus pseudosabina",2,NA,NA,2
"P. cinnamomi","Kingia australis",1,NA,NA,1
"P. cinnamomi","Kunzea baxteri",1,NA,NA,1
"P. cinnamomi","Kunzea muelleri",2,NA,NA,2
"P. pseudosyringae","Laburnum anagyroidis",1,NA,NA,1
"P. cinnamomi","Lactuca sativa",1,NA,NA,1
"P. cinnamomi","Lagunaria patersonia",1,NA,NA,1
"P. cinnamomi","Leptospermum glaucescens",1,NA,NA,1
"P. ramorum","Leptospermum scoparium",1,NA,NA,1
