"Phytophthora","Host","Total","Trade","widerEnvironment","Unknown"
"P. cinnamomi","Banksia verticillata",2,NA,NA,2
"P. cinnamomi","Banksia violacea",7,NA,NA,7
"P. cinnamomi","Bauera sessiliflora",6,NA,NA,6
"P. cinnamomi","Melaleuca sparsa",2,NA,NA,2
"P. cinnamomi","Melaleuca pulcherrima",2,NA,NA,2
"P. pseudosyringae","Fagus sylvatica",28,NA,4,24
"P. ramorum","Fagus sylvatica",7,NA,6,1
"P. cinnamomi","Berberidopsis corallina",2,NA,NA,2
"P. ramorum","Berberis aquifolium",1,NA,NA,1
"P. cinnamomi","Berzelia intermedia",2,NA,NA,2
"P. cinnamomi","Betula pubescens",5,NA,NA,5
"P. cinnamomi","Betula utilis",2,NA,NA,2
"P. cinnamomi","Betula papyrifera",2,NA,NA,2
"P. cinnamomi","Betula pendula",7,NA,NA,7
"P. cinnamomi","Betula tianschanica",2,NA,NA,2
"P. cinnamomi","Boronia clavata",2,NA,NA,2
"P. cinnamomi","Boronia megastigma",8,NA,NA,8
"P. cinnamomi","Boronia pilosa",5,NA,NA,5
"P. cinnamomi","Bossiaea cinerea",3,NA,NA,3
"P. cinnamomi","Bossiaea eriocarpa",2,NA,NA,2
"P. cinnamomi","Brabejum stellatifolium",4,NA,NA,4
"P. cinnamomi","Urostemon kirkii",4,NA,NA,4
"P. cinnamomi","Hydrangea arguta",2,NA,NA,2
"P. cinnamomi","Erica spiculifolia",3,NA,NA,3
"P. cinnamomi","Brunonia australis",2,NA,NA,2
"P. cinnamomi","Gompholobium confertum",2,NA,NA,2
"P. cinnamomi","Buxus sempervirens",7,NA,NA,7
"P. cinnamomi","Cajanus cajan",2,NA,NA,2
"P. cinnamomi","Callitris rhomboidea",2,NA,NA,2
"P. cinnamomi","Calluna vulgaris",14,3,NA,11
"P. ramorum","Calluna vulgaris",2,NA,NA,2
"P. cinnamomi","Calocedrus decurrens",6,NA,NA,6
"P. cinnamomi","Melaleuca quadrifida",2,NA,NA,2
"P. cinnamomi","Calytrix flavescens",2,NA,NA,2
"P. ramorum","Camellia japonica",12,2,NA,10
"P. cinnamomi","Camellia japonica",25,NA,NA,25
"P. cinnamomi","Camellia reticulata",2,NA,NA,2
"P. ramorum","Camellia sasanqua",5,NA,NA,5
"P. cinnamomi","Camellia sasanqua",6,NA,NA,6
"P. ramorum","Camellia sinensis",2,NA,NA,2
"P. cinnamomi","Carica papaya",4,NA,NA,4
"P. cinnamomi","Carpodetus serratus",4,NA,NA,4
"P. cinnamomi","Carya cathayensis",1,NA,NA,1
"P. cinnamomi","Carya illinoensis",2,NA,NA,2
"P. cinnamomi","Carya illinoinensis",2,NA,NA,2
"P. cinnamomi","Cassinia aculeata",3,NA,NA,3
"P. cinnamomi","Castanea × coudercii",1,NA,NA,1
"P. cinnamomi","Castanea crenata",4,NA,NA,4
"P. cinnamomi","Castanea dentata",13,NA,NA,13
"P. pseudosyringae","Castanea dentata",2,NA,NA,2
"P. cinnamomi","Castanea mollissima",7,NA,NA,7
"P. cinnamomi","Castanea ozarkensis",2,NA,NA,2
"P. cinnamomi","Castanea pumila",7,NA,NA,7
"P. cinnamomi","Castanea sativa",179,NA,76,103
"P. pseudosyringae","Castanea sativa",9,NA,NA,9
"P. ramorum","Castanea sativa",5,NA,3,2
"P. cinnamomi","Castanopsis carlesii",4,NA,2,2
"P. cinnamomi","Castanopsis chinensis",1,NA,NA,1
"P. cinnamomi","Castanopsis sieboldii",1,NA,NA,1
"P. cinnamomi","Castanopsis faberi",2,NA,2,NA
"P. cinnamomi","Castanopsis kawakamii",3,NA,2,1
"P. cinnamomi","Lithocarpus uraianus",3,NA,2,1
"P. cinnamomi","Castanopsis indica",2,NA,2,NA
"P. cinnamomi","Casuarina cunninghamiana",13,NA,NA,13
"P. cinnamomi","Casuarina equisetifolia",2,NA,NA,2
"P. cinnamomi","Casuarina glauca",4,NA,NA,4
"P. cinnamomi","Allocasuarina littoralis",5,NA,NA,5
"P. cinnamomi","Allocasuarina verticillata",4,NA,NA,4
"P. cinnamomi","Allocasuarina torulosa",4,NA,NA,4
"P. cinnamomi","Ceanothus griseus",1,NA,NA,1
"P. cinnamomi","Cedrus atlantica",2,NA,NA,2
"P. cinnamomi","Cedrus deodara",11,NA,NA,11
"P. cinnamomi","Cercis canadensis",2,NA,NA,2
"P. cinnamomi","Chamaecyparis lawsoniana",46,10,NA,36
"P. cinnamomi","Chamaecyparis obtusa",11,NA,3,8
"P. cinnamomi","Chamaecyparis pisifera",1,NA,NA,1
"P. cinnamomi","Chamaescilla corymbosa",8,NA,NA,8
"P. cinnamomi","Chamelaucium axillare",6,NA,NA,6
"P. cinnamomi","Chamelaucium ciliatum",5,NA,NA,5
"P. cinnamomi","Chamelaucium uncinatum",14,NA,NA,14
"P. cinnamomi","Cheirodendron trigynum",2,NA,NA,2
"P. cinnamomi","Chorizema cordatum",2,NA,NA,2
"P. cinnamomi","Tanacetum cinerariifolium",2,NA,NA,2
"P. ramorum","Chrysolepis chrysophylla",1,NA,NA,1
"P. cinnamomi","Cibotium chamissoi",4,NA,NA,4
"P. cinnamomi","Cibotium glaucum",2,NA,NA,2
"P. cinnamomi","Cinchona calisaya",9,NA,NA,9
"P. cinnamomi","Cinchona officinalis",9,NA,NA,9
"P. cinnamomi","Cinchona pubescens",9,NA,NA,9
"P. cinnamomi","Cinnamomum aromaticum",16,NA,NA,16
"P. cinnamomi","Cinnamomum burmannii",12,NA,NA,12
"P. ramorum","Cinnamomum camphora",2,NA,NA,2
"P. cinnamomi","Cinnamomum camphora",3,NA,NA,3
"P. cinnamomi","Cinnamomum culitlawan",3,NA,NA,3
"P. cinnamomi","Cinnamomum kotoense",1,NA,NA,1
"P. cinnamomi","Cinnamomum micranthum",4,NA,1,3
"P. cinnamomi","Cinnamomum sintoc",2,NA,NA,2
"P. cinnamomi","Cinnamomum verum",3,NA,NA,3
"P. cinnamomi","Cistus × hybridus",1,NA,1,NA
"P. cinnamomi","Citrus × aurantium",2,NA,NA,2
"P. cinnamomi","Cliffortia ferruginea",2,NA,NA,2
"P. cinnamomi","Cliffortia grandifolia",2,NA,NA,2
"P. cinnamomi","Cliffortia strobilifera",2,NA,NA,2
"P. cinnamomi","Coccoloba uvifera",2,NA,NA,2
"P. cinnamomi","Colocasia esculenta",4,NA,NA,4
"P. cinnamomi","Comptonia peregrina",2,NA,NA,2
"P. cinnamomi","Conostephium pendulum",2,NA,NA,2
"P. cinnamomi","Conostylis setigera",2,NA,NA,2
"P. cinnamomi","Coprosma ernodeoides",2,NA,NA,2
"P. cinnamomi","Coprosma lucida",2,NA,NA,2
"P. cinnamomi","Coprosma menziesii",2,NA,NA,2
"P. cinnamomi","Coprosma robusta",4,NA,NA,4
"P. cinnamomi","Coriaria sarmentosa",2,NA,NA,2
"P. cinnamomi","Cornus florida",5,NA,NA,5
"P. cinnamomi","Cornus nuttallii",2,NA,NA,2
"P. cinnamomi","Corokia buddleioides",4,NA,NA,4
"P. cinnamomi","Correa pulchella",2,NA,NA,2
"P. cinnamomi","Correa reflexa",5,NA,NA,5
"P. ramorum","Corylus cornuta",2,NA,NA,2
"P. cinnamomi","Corymbia calophylla",41,NA,NA,41
"P. cinnamomi","Cotoneaster salicifolius",2,NA,NA,2
