"Phytophthora","Host","Total","Trade","widerEnvironment","Unknown"
"P. cinnamomi","Cucumis",1,NA,NA,1
"P. cinnamomi","Cucurbita",2,NA,NA,2
"P. cinnamomi","Cupressus",12,NA,NA,12
"P. cinnamomi","Hesperocyparis",11,NA,NA,11
"P. austrocedri","Cupressus",2,NA,NA,2
"P. cinnamomi","Curcuma",1,NA,NA,1
"P. cinnamomi","Curtisia",2,NA,NA,2
"P. cinnamomi","Leucopogon",25,NA,NA,25
"P. cinnamomi","Cyathodes",2,NA,NA,2
"P. cinnamomi","Leptecophylla",6,NA,NA,6
"P. cinnamomi","Cyclamen",2,NA,NA,2
"P. cinnamomi","Daboecia",4,NA,NA,4
"P. cinnamomi","Dampiera",2,NA,NA,2
"P. cinnamomi","Daphne",8,NA,NA,8
"P. cinnamomi","Darwinia",3,NA,NA,3
"P. cinnamomi","Archidasyphyllum",2,NA,NA,2
"P. cinnamomi","Desfontainia",2,NA,NA,2
"P. cinnamomi","Dianella",2,NA,NA,2
"P. cinnamomi","Dicksonia",2,NA,NA,2
"P. cinnamomi","Dicranopteris",2,NA,NA,2
"P. cinnamomi","Dillwynia",9,NA,NA,9
"P. cinnamomi","Dionaea",2,NA,NA,2
"P. cinnamomi","Diospyros",4,NA,2,2
"P. cinnamomi","Diplolaena",3,NA,NA,3
"P. cinnamomi","Dracaena",2,NA,NA,2
"P. cinnamomi","Drimys",3,NA,NA,3
"P. kernoviae","Drimys",3,NA,1,2
"P. cinnamomi","Drosera",2,NA,NA,2
"P. cinnamomi","Durio",3,NA,NA,3
"P. ramorum","Rhododendron",278,51,80,147
"P. cinnamomi","Elaeocarpus",5,NA,NA,5
"P. cinnamomi","Engelhardia",1,NA,1,NA
"P. cinnamomi","Epacris",17,NA,NA,17
"P. cinnamomi","Eucalyptus",225,NA,1,224
"P. cinnamomi","Eucryphia",3,NA,NA,3
"P. cinnamomi","Eustoma",5,NA,NA,5
"P. kernoviae","Fagus",2,NA,NA,2
"P. cinnamomi","Fagus",7,1,1,5
"P. cinnamomi","Fatsia",4,NA,NA,4
"P. cinnamomi","Ficus",6,NA,NA,6
"P. cinnamomi","Flindersia",2,NA,NA,2
"P. cinnamomi","Forsythia",3,NA,NA,3
"P. ramorum","Frangula",15,NA,1,14
"P. pseudosyringae","Fraxinus",7,NA,NA,7
"P. cinnamomi","Freycinetia",2,NA,NA,2
"P. cinnamomi","Fuchsia",6,NA,NA,6
"P. cinnamomi","Gahnia",2,NA,NA,2
"P. cinnamomi","Garrya",2,NA,NA,2
"P. cinnamomi","Gaultheria",11,1,NA,10
"P. ramorum","Gaultheria",6,NA,NA,6
"P. cinnamomi","Geniostoma",2,NA,NA,2
"P. cinnamomi","Gevuina",6,NA,NA,6
"P. austrocedri","Ginkgo",2,NA,NA,2
"P. cinnamomi","Gleichenia",1,NA,NA,1
